Date,Time,Item,Qty,Price Point Name,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Customer ID,Customer Name,Customer Reference ID,Unit,Count,Employee,PAN Suffix
11/11/2024,11:28 AM,Horchata Agua Fresca,1,,$4.55,$0.00,$4.55,$0.38,TRANS000001,PAY000001,,,,each,1,Employee 3,2899
09/24/2024,11:56 AM,Chilaquiles,1,,$11.12,$0.00,$11.12,$0.92,TRANS000002,PAY000002,,,,each,1,Employee 6,7873
09/13/2024,09:09 AM,Pan Dulce,1,,$4.30,$0.00,$4.30,$0.35,TRANS000003,PAY000003,,,,each,1,Employee 3,6892
09/13/2024,09:09 AM,Concha,1,,$7.21,$0.00,$7.21,$0.59,TRANS000003,PAY000003,,,,each,1,Employee 7,9392
09/13/2024,09:09 AM,Cookies,1,,$5.99,$0.00,$5.99,$0.49,TRANS000003,PAY000003,,,,each,1,Employee 7,3454
10/01/2024,03:36 PM,Quesadilla,1,,$9.50,$0.00,$9.50,$0.78,TRANS000004,PAY000004,,,,each,1,Employee 4,7668
10/01/2024,03:36 PM,Americano,1,,$4.19,$0.00,$4.19,$0.35,TRANS000004,PAY000004,,,,each,1,Employee 6,6915
10/05/2024,05:44 PM,Cold Brew,1,,$4.81,$0.00,$4.81,$0.40,TRANS000005,PAY000005,CUST0284,Customer 28,CUST0284,each,1,Employee 9,4763
11/21/2024,08:57 AM,Quesadilla,1,,$12.37,$0.00,$12.37,$1.02,TRANS000006,PAY000006,CUST0386,Customer 387,CUST0386,each,1,Employee 4,8777
11/21/2024,08:57 AM,Latte Build Your Own,1,,$5.58,$0.00,$5.58,$0.46,TRANS000006,PAY000006,CUST0386,Customer 387,CUST0386,each,1,Employee 1,5282
11/21/2024,08:57 AM,Chilaquiles,1,,$9.12,$1.45,$7.67,$0.63,TRANS000006,PAY000006,CUST0386,Customer 387,CUST0386,each,1,Employee 4,7546
11/21/2024,08:57 AM,Avocado Toast,1,,$12.27,$0.00,$12.27,$1.01,TRANS000006,PAY000006,CUST0386,Customer 387,CUST0386,each,1,Employee 4,3911
